LoanAccountTransactionId,TransactionDateId,LoanAccountId,TransactionAmount,TransactionAmountSEK
988189,20230208,9,-43029.0,-48554569.0
988190,20230208,319,-608.0,-68607632.0
988191,20230208,368,-4596.0,-51861953.0
988192,20230208,426,-14117.0,-159298346.0
990210,20230404,6,-46886.0,-529068657.0
990211,20230404,11,-30233.0,-341153707.0
990212,20230404,14,-56022.0,-632160651.0
990213,20230404,17,-5638.0,-63620038.0
990214,20230404,17,-2819.0,-318100189.0
990215,20230404,19,-50021.0,-564444467.0
990216,20230404,22,-74564.0,-841391361.0
990217,20230404,24,-3792.0,-42789497.0
990218,20230404,24,-39915.0,-450406847.0
990219,20230404,25,-6746.0,-76122876.0
990220,20230404,25,-7101.0,-801287492.0
990221,20230404,27,-46011.0,-519195026.0
990222,20230404,33,-48996.0,-552878213.0
990223,20230404,37,-38986.0,-439923872.0
990224,20230404,39,-32046.0,-361611871.0
990225,20230404,44,-30381.0,-342823761.0
990226,20230404,52,-4196.0,-47348293.0
990227,20230404,52,-44168.0,-498398337.0
990228,20230404,55,-6.0,-67705.0
990229,20230404,55,-38723.0,-43695614.0
990230,20230404,56,-3259.0,-36775045.0
990231,20230404,56,-34307.0,-387125334.0
990232,20230404,65,-2587.0,-29192096.0
990233,20230404,65,-26136.0,-294922544.0
990234,20230404,71,-3295.0,-37181274.0
990235,20230404,71,-3293.0,-37158706.0
990236,20230404,71,-5.0,-5642075.0
990237,20230404,71,-5.0,-5642075.0
990238,20230404,71,-5.0,-5642075.0
990239,20230404,71,-5.0,-5642075.0
990240,20230404,71,-33285.0,-375592933.0
990241,20230404,71,-33259.0,-375299545.0
990242,20230404,73,-8545.0,-96423062.0
990243,20230404,74,-45538.0,-513857623.0
990244,20230404,111,-19523.0,-22030046.0
990245,20230404,112,-633.0,-7142867.0
990246,20230404,112,-63138.0,-712458663.0
990247,20230404,117,-187541.0,-2116240775.0
990248,20230404,117,-43507.0,-490939514.0
990249,20230404,117,-43363.0,-489314596.0
990250,20230404,117,-43227.0,-487779952.0
990251,20230404,118,-35339.0,-398770577.0
990252,20230404,139,-2004.0,-22613437.0
990253,20230404,139,-19447.0,-219442865.0
990254,20230404,162,-47984.0,-541458654.0
990255,20230404,177,-55131.0,-622106474.0
990256,20230404,182,-5.0,-5642075.0
990257,20230404,182,-5.0,-5642075.0
990258,20230404,182,-5.0,-5642075.0
990259,20230404,182,-14413.0,-162638454.0
990260,20230404,182,-9923.0,-11197262.0
990261,20230404,182,-8591.0,-96942133.0
990262,20230404,182,-6413.0,-72365254.0
990263,20230404,182,-2148.0,-24238354.0
990264,20230404,194,-2815634.0,-317720364.0
990265,20230404,194,-39662.0,-447551957.0
990266,20230404,205,-38987.0,-439935156.0
990267,20230404,206,-26363.0,-297484046.0
990268,20230404,229,-7192.0,-81155607.0
990269,20230404,244,-7826.0,-88309758.0
990270,20230404,244,-39132.0,-441571358.0
990271,20230404,269,-59228.0,-668337636.0
990272,20230404,275,-2726.0,-30760593.0
990273,20230404,275,-27536.0,-310720354.0
990274,20230404,322,-15303.0,-172681347.0
990275,20230404,325,-8547.0,-9644563.0
990276,20230404,326,-2693.0,-30388216.0
990277,20230404,326,-903.0,-10189587.0
990278,20230404,326,-27204.0,-306974017.0
990279,20230404,338,-1512878.0,-1707154228.0
990280,20230404,338,-26055.0,-294008528.0
990281,20230404,342,-52334.0,-590544706.0
990282,20230404,344,-25354.0,-286098339.0
990283,20230404,355,-5.0,-5642075.0
990284,20230404,355,-9137.0,-103103279.0
990285,20230404,355,-8463.0,-95497761.0
990286,20230404,365,-5231.0,-59027389.0
990287,20230404,367,-18705.0,-211070026.0
990288,20230404,370,-9947.0,-11224344.0
990289,20230404,372,-24151.0,-272523507.0
990290,20230404,375,-12213.0,-137813324.0
990291,20230404,378,-9146.0,-103204836.0
990292,20230404,384,-13674.0,-154299467.0
990293,20230404,387,-4933.0,-55664712.0
990294,20230404,387,-24665.0,-27832356.0
990295,20230404,391,-6348.0,-71631784.0
990296,20230404,391,-31739.0,-358147637.0
990297,20230404,394,-15109.0,-170492222.0
990298,20230404,396,-21048.0,-237508789.0
990299,20230404,397,-795396.0,-8975367773.0
990300,20230404,397,-19535.0,-22043587.0
990301,20230404,400,-27798.0,-313676802.0
990302,20230404,405,-97635.0,-1101727985.0
