LoanAccountBalanceId;SourceId;BalanceDateId;LoanAccountId;ProductId;AccountCurrencyId;AccountStatusId;NumOfTransactions;NetTransactionAmount;NetTransactionAmountSek;AccruedInterest;AccruedInterestSEK;Balance;BalanceSek;LTV;PrecedingId
9937;8;20230604;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;NULL
92431;8;20230605;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;9937
174824;8;20230606;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;92431
257217;8;20230607;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;174824
339610;8;20230608;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;257217
422003;8;20230615;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;339610
504396;8;20230616;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;422003
586789;8;20230617;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;504396
669182;8;20230618;2;293;49;331;0;0;0;0;0;27591,69;311348,7687;0;586789
751574;8;20230619;2;293;49;331;0;0;0;0;0;0;0;0;669182
1381354;8;20231127;2;293;49;331;0;0;0;0;0;33514,3;378180,3884;0;751574
1563947;8;20240206;2;293;49;331;0;0;0;0;0;33141,11;373969,2564;0;1381354
1788429;8;20240330;2;344;49;331;0;0;0;0;0;38371,55;432990,3259;0;1563947
1893649;8;20240512;2;344;49;331;0;0;0;235,86;2661,47962;37834,51;426930,286;0;1788429
9938;8;20230604;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;NULL
92432;8;20230605;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;9938
174825;8;20230606;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;92432
257218;8;20230607;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;174825
339611;8;20230608;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;257218
422004;8;20230615;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;339611
504397;8;20230616;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;422004
586790;8;20230617;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;504397
669183;8;20230618;5;293;49;331;0;0;0;0;0;30732,19;346786,6418;0;586790
751575;8;20230619;5;293;49;331;0;0;0;0;0;0;0;0;669183
1381355;8;20231127;5;293;49;373;0;0;0;0;0;30024,14;338796,8994;0;751575
1563948;8;20240206;5;293;49;373;0;0;0;0;0;29696,01;335094,2312;0;1381355
1788430;8;20240330;5;293;49;373;0;0;0;0;0;29545,56;333396,5309;0;1563948
1893650;8;20240512;5;293;49;331;0;0;0;204,6;2308,73709;28256,62;318851,9386;0;1788430
9939;8;20230604;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;NULL
92433;8;20230605;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;9939
174826;8;20230606;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;92433
257219;8;20230607;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;174826
339612;8;20230608;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;257219
422005;8;20230615;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;339612
504398;8;20230616;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;422005
586791;8;20230617;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;504398
669184;8;20230618;6;293;49;331;0;0;0;0;0;31394,43;354259,4573;0;586791
751576;8;20230619;6;293;49;331;0;0;0;0;0;0;0;0;669184
1381356;8;20231127;6;293;49;331;0;0;0;0;0;31179,68;351836,1861;0;751576
1563949;8;20240206;6;293;49;331;0;0;0;0;0;32057,47;361741,3001;0;1381356
1788431;8;20240330;6;293;49;331;0;0;0;0;0;30793,14;347474,4107;0;1563949
