LoanAccountTransactionId;SourceId;TransactionDateId;ValueDateId;EntryDateID;LoanAccountId;TransactionTypeId;TransactionStatus;RectifyStatus;TransactionCurrencyId;TransactionAmount;TransactionAmountSEK;CounterpartClearingNumber;CounterPartBic;CounterPartIban;TransactionReference;ExchangeRateId;TransactionText;AccountServicerReference;CounterPartId;CounterPartAccountNumber;CounterPartBankName;TransactionDateTime;IsDirectDebit;GLAccount;EventName;InvoiceId
988189;8;20230208;20230208;20230208;9;1821;NULL;NULL;49;-430,29;-4855,4569;NULL;NULL;NULL;00446003423-43241922;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
988190;8;20230208;20230208;20230208;319;1870;NULL;NULL;49;-60,8;-686,07632;NULL;NULL;NULL;00446003423-43242008;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
988191;8;20230208;20230208;20230208;368;1870;NULL;NULL;49;-45,96;-518,61953;NULL;NULL;NULL;00446003423-43244669;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
988192;8;20230208;20230208;20230208;426;1870;NULL;NULL;49;-141,17;-1592,98346;NULL;NULL;NULL;00446003423-43244684;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990210;8;20230404;20230228;20230228;6;1870;NULL;NULL;49;-468,86;-5290,68657;NULL;NULL;NULL;00446003439-44114757;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990211;8;20230404;20230228;20230228;11;1870;NULL;NULL;49;-302,33;-3411,53707;NULL;NULL;NULL;00446003439-44115150;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990212;8;20230404;20230228;20230228;14;1870;NULL;NULL;49;-560,22;-6321,60651;NULL;NULL;NULL;00446003439-44116038;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990213;8;20230404;20230228;20230228;17;1821;NULL;NULL;49;-56,38;-636,20038;NULL;NULL;NULL;00446003439-44116276;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990214;8;20230404;20230228;20230228;17;1870;NULL;NULL;49;-281,9;-3181,00189;NULL;NULL;NULL;00446003439-44116272;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990215;8;20230404;20230228;20230228;19;1870;NULL;NULL;49;-500,21;-5644,44467;NULL;NULL;NULL;00446003439-44116311;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990216;8;20230404;20230228;20230228;22;1870;NULL;NULL;49;-745,64;-8413,91361;NULL;NULL;NULL;00446003439-44116631;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990217;8;20230404;20230228;20230228;24;1769;NULL;NULL;49;-37,92;-427,89497;NULL;NULL;NULL;00446003439-44116677;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990218;8;20230404;20230228;20230228;24;1870;NULL;NULL;49;-399,15;-4504,06847;NULL;NULL;NULL;00446003439-44116679;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990219;8;20230404;20230228;20230228;25;1769;NULL;NULL;49;-67,46;-761,22876;NULL;NULL;NULL;00446003439-44116732;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990220;8;20230404;20230228;20230228;25;1870;NULL;NULL;49;-710,1;-8012,87492;NULL;NULL;NULL;00446003439-44116734;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990221;8;20230404;20230228;20230228;27;1870;NULL;NULL;49;-460,11;-5191,95026;NULL;NULL;NULL;00446003439-44116854;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990222;8;20230404;20230228;20230228;33;1870;NULL;NULL;49;-489,96;-5528,78213;NULL;NULL;NULL;00446003440-44163228;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990223;8;20230404;20230228;20230228;37;1870;NULL;NULL;49;-389,86;-4399,23872;NULL;NULL;NULL;00446003439-44117679;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
990224;8;20230404;20230228;20230228;39;1870;NULL;NULL;49;-320,46;-3616,11871;NULL;NULL;NULL;00446003439-44117693;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
