LoanAccountTransactionId,SourceId,TransactionDateId,ValueDateId,EntryDateID,LoanAccountId,TransactionTypeId,TransactionCurrencyId,TransactionAmount,TransactionAmountSEK,TransactionReference,ExchangeRateId
988189,8,20230208,20230208,20230208,9,1821,49,-43029.0,-48554569.0,00446003423-43241922,2910
988190,8,20230208,20230208,20230208,319,1870,49,-608.0,-68607632.0,00446003423-43242008,2910
988191,8,20230208,20230208,20230208,368,1870,49,-4596.0,-51861953.0,00446003423-43244669,2910
988192,8,20230208,20230208,20230208,426,1870,49,-14117.0,-159298346.0,00446003423-43244684,2910
990210,8,20230404,20230228,20230228,6,1870,49,-46886.0,-529068657.0,00446003439-44114757,2910
990211,8,20230404,20230228,20230228,11,1870,49,-30233.0,-341153707.0,00446003439-44115150,2910
990212,8,20230404,20230228,20230228,14,1870,49,-56022.0,-632160651.0,00446003439-44116038,2910
990213,8,20230404,20230228,20230228,17,1821,49,-5638.0,-63620038.0,00446003439-44116276,2910
990214,8,20230404,20230228,20230228,17,1870,49,-2819.0,-318100189.0,00446003439-44116272,2910
990215,8,20230404,20230228,20230228,19,1870,49,-50021.0,-564444467.0,00446003439-44116311,2910
990216,8,20230404,20230228,20230228,22,1870,49,-74564.0,-841391361.0,00446003439-44116631,2910
990217,8,20230404,20230228,20230228,24,1769,49,-3792.0,-42789497.0,00446003439-44116677,2910
990218,8,20230404,20230228,20230228,24,1870,49,-39915.0,-450406847.0,00446003439-44116679,2910
990219,8,20230404,20230228,20230228,25,1769,49,-6746.0,-76122876.0,00446003439-44116732,2910
990220,8,20230404,20230228,20230228,25,1870,49,-7101.0,-801287492.0,00446003439-44116734,2910
990221,8,20230404,20230228,20230228,27,1870,49,-46011.0,-519195026.0,00446003439-44116854,2910
990222,8,20230404,20230228,20230228,33,1870,49,-48996.0,-552878213.0,00446003440-44163228,2910
990223,8,20230404,20230228,20230228,37,1870,49,-38986.0,-439923872.0,00446003439-44117679,2910
990224,8,20230404,20230228,20230228,39,1870,49,-32046.0,-361611871.0,00446003439-44117693,2910
990225,8,20230404,20230228,20230228,44,1870,49,-30381.0,-342823761.0,00446003439-44117864,2910
990226,8,20230404,20230228,20230228,52,1769,49,-4196.0,-47348293.0,00446003439-44118357,2910
990227,8,20230404,20230228,20230228,52,1870,49,-44168.0,-498398337.0,00446003439-44118359,2910
990228,8,20230404,20230228,20230228,55,1869,49,-6.0,-67705.0,00446003439-44118395,2910
990229,8,20230404,20230228,20230228,55,1870,49,-38723.0,-43695614.0,00446003439-44118397,2910
990230,8,20230404,20230228,20230228,56,1769,49,-3259.0,-36775045.0,00446003439-44118454,2910
990231,8,20230404,20230228,20230228,56,1870,49,-34307.0,-387125334.0,00446003439-44118456,2910
990232,8,20230404,20230228,20230228,65,1769,49,-2587.0,-29192096.0,00446003439-44116087,2910
990233,8,20230404,20230228,20230228,65,1870,49,-26136.0,-294922544.0,00446003439-44116089,2910
990234,8,20230404,20230228,20230228,71,1769,49,-3295.0,-37181274.0,00446003439-44098686,2910
990235,8,20230404,20230228,20230228,71,1769,49,-3293.0,-37158706.0,00446003439-44116116,2910
990236,8,20230404,20230228,20230228,71,1769,49,-5.0,-5642075.0,00446003439-44098688,2910
990237,8,20230404,20230228,20230228,71,1769,49,-5.0,-5642075.0,00446003439-44098690,2910
990238,8,20230404,20230228,20230228,71,1769,49,-5.0,-5642075.0,00446003439-44116118,2910
990239,8,20230404,20230228,20230228,71,1769,49,-5.0,-5642075.0,00446003439-44116120,2910
990240,8,20230404,20230228,20230228,71,1870,49,-33285.0,-375592933.0,00446003439-44098692,2910
990241,8,20230404,20230228,20230228,71,1870,49,-33259.0,-375299545.0,00446003439-44116122,2910
990242,8,20230404,20230228,20230228,73,1870,49,-8545.0,-96423062.0,00446003439-44116133,2910
990243,8,20230404,20230228,20230228,74,1870,49,-45538.0,-513857623.0,00446003439-44116137,2910
990244,8,20230404,20230228,20230228,111,1870,49,-19523.0,-22030046.0,00446003439-44116433,2910
990245,8,20230404,20230228,20230228,112,1769,49,-633.0,-7142867.0,00446003439-44116477,2910
990246,8,20230404,20230228,20230228,112,1870,49,-63138.0,-712458663.0,00446003439-44116479,2910
990247,8,20230404,20230228,20230228,117,1870,49,-187541.0,-2116240775.0,00446003439-44094256,2910
990248,8,20230404,20230228,20230228,117,1870,49,-43507.0,-490939514.0,00446003439-44094268,2910
990249,8,20230404,20230228,20230228,117,1870,49,-43363.0,-489314596.0,00446003439-44094264,2910
990250,8,20230404,20230228,20230228,117,1870,49,-43227.0,-487779952.0,00446003439-44094260,2910
990251,8,20230404,20230228,20230228,118,1870,49,-35339.0,-398770577.0,00446003439-44116526,2910
990252,8,20230404,20230228,20230228,139,1769,49,-2004.0,-22613437.0,00446003439-44116866,2910
990253,8,20230404,20230228,20230228,139,1870,49,-19447.0,-219442865.0,00446003439-44116868,2910
990254,8,20230404,20230228,20230228,162,1870,49,-47984.0,-541458654.0,00446003439-44117001,2910
990255,8,20230404,20230228,20230228,177,1870,49,-55131.0,-622106474.0,00446003439-44117097,2910
990256,8,20230404,20230228,20230228,182,1769,49,-5.0,-5642075.0,00446003440-44155698,2910
990257,8,20230404,20230228,20230228,182,1769,49,-5.0,-5642075.0,00446003440-44163316,2910
990258,8,20230404,20230228,20230228,182,1769,49,-5.0,-5642075.0,00446003440-44163318,2910
990259,8,20230404,20230228,20230228,182,1870,49,-14413.0,-162638454.0,00446003440-44155700,2910
990260,8,20230404,20230228,20230228,182,1870,49,-9923.0,-11197262.0,00446003440-44163320,2910
990261,8,20230404,20230228,20230228,182,1870,49,-8591.0,-96942133.0,00446003440-44154762,2910
990262,8,20230404,20230228,20230228,182,1870,49,-6413.0,-72365254.0,00446003440-44163312,2910
990263,8,20230404,20230228,20230228,182,1870,49,-2148.0,-24238354.0,00446003440-44155694,2910
990264,8,20230404,20230228,20230228,194,1821,49,-2815634.0,-317720364.0,00446003439-44117192,2910
990265,8,20230404,20230228,20230228,194,1870,49,-39662.0,-447551957.0,00446003439-44117188,2910
990266,8,20230404,20230228,20230228,205,1870,49,-38987.0,-439935156.0,00446003439-44117309,2910
990267,8,20230404,20230228,20230228,206,1870,49,-26363.0,-297484046.0,00446003439-44117464,2910
990268,8,20230404,20230228,20230228,229,1870,49,-7192.0,-81155607.0,00446003439-44117792,2910
990269,8,20230404,20230228,20230228,244,1821,49,-7826.0,-88309758.0,00446003439-44117904,2910
990270,8,20230404,20230228,20230228,244,1870,49,-39132.0,-441571358.0,00446003439-44117900,2910
990271,8,20230404,20230228,20230228,269,1870,49,-59228.0,-668337636.0,00446003440-44163583,2910
990272,8,20230404,20230228,20230228,275,1769,49,-2726.0,-30760593.0,00446003440-44163611,2910
990273,8,20230404,20230228,20230228,275,1870,49,-27536.0,-310720354.0,00446003440-44163613,2910
990274,8,20230404,20230228,20230228,322,1870,49,-15303.0,-172681347.0,00446003439-44118732,2910
990275,8,20230404,20230228,20230228,325,1870,49,-8547.0,-9644563.0,00446003439-44118740,2910
990276,8,20230404,20230228,20230228,326,1769,49,-2693.0,-30388216.0,00446003439-44099036,2910
990277,8,20230404,20230228,20230228,326,1869,49,-903.0,-10189587.0,00446003439-44099038,2910
990278,8,20230404,20230228,20230228,326,1870,49,-27204.0,-306974017.0,00446003439-44099040,2910
990279,8,20230404,20230228,20230228,338,1821,49,-1512878.0,-1707154228.0,00446003439-44118805,2910
990280,8,20230404,20230228,20230228,338,1870,49,-26055.0,-294008528.0,00446003439-44118801,2910
990281,8,20230404,20230228,20230228,342,1870,49,-52334.0,-590544706.0,00446003439-44118936,2910
990282,8,20230404,20230228,20230228,344,1870,49,-25354.0,-286098339.0,00446003439-44118964,2910
990283,8,20230404,20230228,20230228,355,1769,49,-5.0,-5642075.0,00446003440-44205452,2910
990284,8,20230404,20230228,20230228,355,1870,49,-9137.0,-103103279.0,00446003440-44158744,2910
990285,8,20230404,20230228,20230228,355,1870,49,-8463.0,-95497761.0,00446003440-44205454,2910
990286,8,20230404,20230228,20230228,365,1870,49,-5231.0,-59027389.0,00446003440-44173824,2910
990287,8,20230404,20230228,20230228,367,1870,49,-18705.0,-211070026.0,00446003440-44158748,2910
990288,8,20230404,20230228,20230228,370,1870,49,-9947.0,-11224344.0,00446003440-44205637,2910
990289,8,20230404,20230228,20230228,372,1870,49,-24151.0,-272523507.0,00446003440-44205641,2910
990290,8,20230404,20230228,20230228,375,1870,49,-12213.0,-137813324.0,00446003440-44206030,2910
990291,8,20230404,20230228,20230228,378,1870,49,-9146.0,-103204836.0,00446003440-44172095,2910
990292,8,20230404,20230228,20230228,384,1870,49,-13674.0,-154299467.0,00446003440-44205871,2910
990293,8,20230404,20230228,20230228,387,1821,49,-4933.0,-55664712.0,00446003440-44205782,2910
990294,8,20230404,20230228,20230228,387,1870,49,-24665.0,-27832356.0,00446003440-44205778,2910
990295,8,20230404,20230228,20230228,391,1821,49,-6348.0,-71631784.0,00446003440-44198946,2910
990296,8,20230404,20230228,20230228,391,1870,49,-31739.0,-358147637.0,00446003440-44198942,2910
990297,8,20230404,20230228,20230228,394,1870,49,-15109.0,-170492222.0,00446003440-44205953,2910
990298,8,20230404,20230228,20230228,396,1870,49,-21048.0,-237508789.0,00446003440-44205808,2910
990299,8,20230404,20230228,20230228,397,1821,49,-795396.0,-8975367773.0,00446003440-44206004,2910
990300,8,20230404,20230228,20230228,397,1870,49,-19535.0,-22043587.0,00446003440-44206000,2910
990301,8,20230404,20230228,20230228,400,1870,49,-27798.0,-313676802.0,00446003440-44171212,2910
990302,8,20230404,20230228,20230228,405,1821,49,-97635.0,-1101727985.0,00446003440-44205972,2910
990303,8,20230404,20230228,20230228,405,1870,49,-5072.0,-57233209.0,00446003440-44205968,2910
