quantity,discount,supplierID,productID,shipCountry,employeeName,orderDate,categoryName,sales_amount,categoryID,shipperName,productName,shipCity,customerID,orderID,supplierName,employeeID,unitPrice,customer_segment,_score,customerName
12,0,5,11,France,Steven Buchanan,1996-07-04 00:00:00.000,Dairy Products,168.0,4,Federal Shipping,Queso Cabrales,Reims,VINET,10248,Cooperativa de Quesos 'Las Cabras',5,14.00,Low Value,168.0,Vins et alcools Chevalier
10,0,20,42,France,Steven Buchanan,1996-07-04 00:00:00.000,Grains/Cereals,98.0,5,Federal Shipping,Singaporean Hokkien Fried Mee,Reims,VINET,10248,Leka Trading,5,9.80,Low Value,98.0,Vins et alcools Chevalier
5,0,14,72,France,Steven Buchanan,1996-07-04 00:00:00.000,Dairy Products,174.0,4,Federal Shipping,Mozzarella di Giovanni,Reims,VINET,10248,Formaggi Fortini s.r.l.,5,34.80,Low Value,174.0,Vins et alcools Chevalier
9,0,6,14,Germany,Michael Suyama,1996-07-05 00:00:00.000,Produce,167.4,7,Speedy Express,Tofu,Münster,TOMSP,10249,Mayumi's,6,18.60,Low Value,167.4,Toms Spezialitäten
40,0,24,51,Germany,Michael Suyama,1996-07-05 00:00:00.000,Produce,1696.0,7,Speedy Express,Manjimup Dried Apples,Münster,TOMSP,10249,G'day Mate,6,42.40,Low Value,1696.0,Toms Spezialitäten
10,0,19,41,Brazil,Margaret Peacock,1996-07-08 00:00:00.000,Seafood,77.0,8,United Package,Jack's New England Clam Chowder,Rio de Janeiro,HANAR,10250,New England Seafood Cannery,4,7.70,High Value,77.0,Hanari Carnes
35,0.15,24,51,Brazil,Margaret Peacock,1996-07-08 00:00:00.000,Produce,1261.3999999999999,7,United Package,Manjimup Dried Apples,Rio de Janeiro,HANAR,10250,G'day Mate,4,42.40,High Value,1261.3999999999999,Hanari Carnes
15,0.15,2,65,Brazil,Margaret Peacock,1996-07-08 00:00:00.000,Condiments,214.2,2,United Package,Louisiana Fiery Hot Pepper Sauce,Rio de Janeiro,HANAR,10250,New Orleans Cajun Delights,4,16.80,High Value,214.2,Hanari Carnes
6,0.05,9,22,France,Janet Leverling,1996-07-08 00:00:00.000,Grains/Cereals,95.76,5,Speedy Express,Gustaf's Knäckebröd,Lyon,VICTE,10251,PB Knäckebröd AB,3,16.80,Medium Value,95.76,Victuailles en stock
15,0.05,26,57,France,Janet Leverling,1996-07-08 00:00:00.000,Grains/Cereals,222.29999999999998,5,Speedy Express,Ravioli Angelo,Lyon,VICTE,10251,Pasta Buttini s.r.l.,3,15.60,Medium Value,222.29999999999998,Victuailles en stock
20,0,2,65,France,Janet Leverling,1996-07-08 00:00:00.000,Condiments,336.0,2,Speedy Express,Louisiana Fiery Hot Pepper Sauce,Lyon,VICTE,10251,New Orleans Cajun Delights,3,16.80,Medium Value,336.0,Victuailles en stock
40,0.05,8,20,Belgium,Margaret Peacock,1996-07-09 00:00:00.000,Confections,2462.4,3,United Package,Sir Rodney's Marmalade,Charleroi,SUPRD,10252,Specialty Biscuits Ltd.,4,64.80,High Value,2462.4,Suprêmes délices
25,0.05,15,33,Belgium,Margaret Peacock,1996-07-09 00:00:00.000,Dairy Products,47.5,4,United Package,Geitost,Charleroi,SUPRD,10252,Norske Meierier,4,2.00,High Value,47.5,Suprêmes délices
40,0,28,60,Belgium,Margaret Peacock,1996-07-09 00:00:00.000,Dairy Products,1088.0,4,United Package,Camembert Pierrot,Charleroi,SUPRD,10252,Gai pâturage,4,27.20,High Value,1088.0,Suprêmes délices
20,0,14,31,Brazil,Janet Leverling,1996-07-10 00:00:00.000,Dairy Products,200.0,4,United Package,Gorgonzola Telino,Rio de Janeiro,HANAR,10253,Formaggi Fortini s.r.l.,3,10.00,High Value,200.0,Hanari Carnes
42,0,18,39,Brazil,Janet Leverling,1996-07-10 00:00:00.000,Beverages,604.8000000000001,1,United Package,Chartreuse verte,Rio de Janeiro,HANAR,10253,Aux joyeux ecclésiastiques,3,14.40,High Value,604.8000000000001,Hanari Carnes
40,0,23,49,Brazil,Janet Leverling,1996-07-10 00:00:00.000,Confections,640.0,3,United Package,Maxilaku,Rio de Janeiro,HANAR,10253,Karkki Oy,3,16.00,High Value,640.0,Hanari Carnes
15,0.15,10,24,Switzerland,Steven Buchanan,1996-07-11 00:00:00.000,Beverages,45.9,1,United Package,Guaraná Fantástica,Bern,CHOPS,10254,Refrescos Americanas LTDA,5,3.60,Medium Value,45.9,Chop-suey Chinese
