night_id,date,period,weekday,n_residents_total,n_residents_with_alarm,n_true_alarms,n_false_alarms,total_alarms,staff_interventions,total_response_min,resident_awakenings_est,pct_silenced_within_30s
1,2026-01-01,Baseline,Thursday,12,4,4,13,17,17,59.9,14,76.5
2,2026-01-02,Baseline,Friday,12,4,1,14,15,15,39.0,9,93.3
3,2026-01-03,Baseline,Saturday,12,4,1,16,17,17,46.1,9,94.1
4,2026-01-04,Baseline,Sunday,12,4,1,11,12,12,36.3,7,91.7
5,2026-01-05,Baseline,Monday,12,4,3,15,18,18,59.8,11,83.3
6,2026-01-06,Baseline,Tuesday,12,4,3,13,16,16,58.1,9,81.2
7,2026-01-07,Baseline,Wednesday,12,4,1,18,19,19,56.8,6,94.7
8,2026-01-08,Baseline,Thursday,12,4,2,23,25,25,71.7,13,92.0
9,2026-01-09,Baseline,Friday,12,4,6,10,16,16,54.2,11,62.5
10,2026-01-10,Baseline,Saturday,12,4,5,16,21,21,78.9,13,76.2
11,2026-01-11,Baseline,Sunday,12,4,2,15,17,17,43.9,11,88.2
12,2026-01-12,Baseline,Monday,12,4,1,26,27,27,78.7,19,96.3
13,2026-01-13,Baseline,Tuesday,12,4,3,19,22,22,72.9,9,86.4
14,2026-01-14,Baseline,Wednesday,12,4,2,11,13,13,41.6,7,84.6
15,2026-01-15,Baseline,Thursday,12,4,1,17,18,18,52.4,9,94.4
16,2026-01-16,Baseline,Friday,12,4,3,14,17,17,51.9,14,82.4
17,2026-01-17,Baseline,Saturday,12,4,1,14,15,15,46.6,10,93.3
18,2026-01-18,Baseline,Sunday,12,4,2,12,14,14,54.0,12,85.7
19,2026-01-19,Baseline,Monday,12,4,4,18,22,22,72.4,11,81.8
20,2026-01-20,Baseline,Tuesday,12,4,2,6,8,8,26.6,5,75.0
21,2026-01-21,Baseline,Wednesday,12,4,0,19,19,19,51.6,13,100.0
22,2026-01-22,Baseline,Thursday,12,4,4,17,21,21,71.0,16,81.0
23,2026-01-23,Baseline,Friday,12,4,5,20,25,25,86.3,17,80.0
24,2026-01-24,Baseline,Saturday,12,4,5,14,19,19,62.7,14,73.7
25,2026-01-25,Baseline,Sunday,12,4,3,21,24,24,77.0,10,87.5
26,2026-01-26,Baseline,Monday,12,4,1,13,14,14,45.6,9,92.9
27,2026-01-27,Baseline,Tuesday,12,4,3,13,16,16,47.9,9,81.2
28,2026-01-28,Baseline,Wednesday,12,4,2,15,17,17,52.7,10,88.2
29,2026-01-29,After,Thursday,12,4,2,1,3,3,14.4,1,33.3
30,2026-01-30,After,Friday,12,4,3,1,4,4,20.1,3,25.0
31,2026-01-31,After,Saturday,12,4,3,2,5,5,21.8,3,40.0
32,2026-02-01,After,Sunday,12,4,4,1,5,5,22.0,4,20.0
33,2026-02-02,After,Monday,12,4,4,1,5,5,26.6,3,20.0
34,2026-02-03,After,Tuesday,12,4,0,1,1,1,3.7,0,100.0
35,2026-02-04,After,Wednesday,12,4,1,0,1,1,7.1,0,0.0
36,2026-02-05,After,Thursday,12,4,3,1,4,4,14.3,4,25.0
37,2026-02-06,After,Friday,12,4,2,1,3,3,13.1,1,33.3
38,2026-02-07,After,Saturday,12,4,3,2,5,5,20.1,4,40.0
39,2026-02-08,After,Sunday,12,4,4,2,6,6,25.6,3,33.3
40,2026-02-09,After,Monday,12,4,0,0,0,0,0.0,0,0.0
41,2026-02-10,After,Tuesday,12,4,3,1,4,4,14.9,3,25.0
42,2026-02-11,After,Wednesday,12,4,1,3,4,4,16.4,2,75.0
43,2026-02-12,After,Thursday,12,4,3,2,5,5,19.8,2,40.0
44,2026-02-13,After,Friday,12,4,1,2,3,3,8.9,0,66.7
45,2026-02-14,After,Saturday,12,4,2,2,4,4,19.7,2,50.0
46,2026-02-15,After,Sunday,12,4,1,2,3,3,8.0,1,66.7
47,2026-02-16,After,Monday,12,4,3,1,4,4,18.4,2,25.0
48,2026-02-17,After,Tuesday,12,4,3,2,5,5,21.6,1,40.0
49,2026-02-18,After,Wednesday,12,4,1,1,2,2,7.6,1,50.0
50,2026-02-19,After,Thursday,12,4,1,0,1,1,5.1,0,0.0
51,2026-02-20,After,Friday,12,4,1,2,3,3,15.1,1,66.7
52,2026-02-21,After,Saturday,12,4,1,2,3,3,9.8,0,66.7
53,2026-02-22,After,Sunday,12,4,1,1,2,2,8.4,1,50.0
54,2026-02-23,After,Monday,12,4,3,1,4,4,21.4,3,25.0
55,2026-02-24,After,Tuesday,12,4,1,0,1,1,4.4,0,0.0
56,2026-02-25,After,Wednesday,12,4,5,1,6,6,26.1,5,16.7
