LoanAccountBalanceId,SourceId,BalanceDateId,LoanAccountId,ProductId,AccountCurrencyId,AccountStatusId,NumOfTransactions,NetTransactionAmount,NetTransactionAmountSek,AccruedInterest,AccruedInterestSEK,Balance,BalanceSek,LTV,PrecedingId
9937,8,2023-06-04,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,0
92431,8,2023-06-05,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,9937
174824,8,2023-06-06,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,92431
257217,8,2023-06-07,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,174824
339610,8,2023-06-08,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,257217
422003,8,2023-06-15,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,339610
504396,8,2023-06-16,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,422003
586789,8,2023-06-17,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,504396
669182,8,2023-06-18,2,293,49,331,0,0,0,0.0,0.0,2759169.0,3113487687.0,0,586789
751574,8,2023-06-19,2,293,49,331,0,0,0,0.0,0.0,0.0,0.0,0,669182
1381354,8,2023-11-27,2,293,49,331,0,0,0,0.0,0.0,335143.0,3781803884.0,0,751574
1563947,8,2024-02-06,2,293,49,331,0,0,0,0.0,0.0,3314111.0,3739692564.0,0,1381354
1788429,8,2024-03-30,2,344,49,331,0,0,0,0.0,0.0,3837155.0,4329903259.0,0,1563947
1893649,8,2024-05-12,2,344,49,331,0,0,0,23586.0,266147962.0,3783451.0,426930286.0,0,1788429
9938,8,2023-06-04,5,293,49,331,0,0,0,0.0,0.0,3073219.0,3467866418.0,0,0
92432,8,2023-06-05,5,293,49,331,0,0,0,0.0,0.0,3073219.0,3467866418.0,0,9938
174825,8,2023-06-06,5,293,49,331,0,0,0,0.0,0.0,3073219.0,3467866418.0,0,92432
257218,8,2023-06-07,5,293,49,331,0,0,0,0.0,0.0,3073219.0,3467866418.0,0,174825
339611,8,2023-06-08,5,293,49,331,0,0,0,0.0,0.0,3073219.0,3467866418.0,0,257218
