LoanAccountId,ProductId,AccountCurrencyId,LoanStatus
1,293,49,Cancelled
2,344,49,Active
3,293,49,Cancelled
4,293,49,Cancelled
5,293,49,Active
6,293,49,Active
7,344,49,Active
8,293,49,Active
9,344,49,Active
10,344,49,Active
11,344,49,Active
12,293,49,Active
13,344,49,Active
14,344,49,Active
15,344,49,Active
16,293,49,Cancelled
17,293,49,Cancelled
18,344,49,Active
19,344,49,Active
20,293,49,Cancelled
21,293,49,Cancelled
22,344,49,Active
23,293,49,Active
24,293,49,Active
25,293,49,Active
26,293,49,Cancelled
27,293,49,Cancelled
28,293,49,Cancelled
29,293,49,Cancelled
30,293,49,Cancelled
31,293,49,Cancelled
32,344,49,Active
33,344,49,Active
34,293,49,Cancelled
35,293,49,Cancelled
36,293,49,Active
37,293,49,Active
38,293,49,Active
39,293,49,Active
40,293,49,Cancelled
41,293,49,Cancelled
42,344,49,Active
43,344,49,Active
44,344,49,Active
45,293,49,Cancelled
46,293,49,Cancelled
47,293,49,Cancelled
48,293,49,Active
49,293,49,Active
50,344,49,Active
51,293,49,Cancelled
52,293,49,Cancelled
53,293,49,Cancelled
54,293,49,Cancelled
55,293,49,Active
56,293,49,Active
57,293,49,Cancelled
58,293,49,Cancelled
59,293,49,Cancelled
60,294,49,Active
61,294,49,Cancelled
62,294,49,Cancelled
63,294,49,Active
64,294,49,Active
65,294,49,Active
66,294,49,Cancelled
67,294,49,Cancelled
68,294,49,Cancelled
69,294,49,Cancelled
70,294,49,Active
71,294,49,Active
72,294,49,Active
73,294,49,Cancelled
74,294,49,Active
75,294,49,Active
76,294,49,Active
77,294,49,Active
78,294,49,Active
79,294,49,Cancelled
80,294,49,Cancelled
81,294,49,Cancelled
82,294,49,Cancelled
83,294,49,Cancelled
84,294,49,Cancelled
85,294,49,Cancelled
86,294,49,Cancelled
87,294,49,Cancelled
88,294,49,Cancelled
89,294,49,Cancelled
90,294,49,Active
91,294,49,Active
92,294,49,Cancelled
93,294,49,Active
94,294,49,Active
95,294,49,Active
96,294,49,Active
97,294,49,Active
98,294,49,Active
99,294,49,Cancelled
100,294,49,Active
101,294,49,Active
102,294,49,Cancelled
103,294,49,Cancelled
104,294,49,Active
105,294,49,Cancelled
106,294,49,Cancelled
107,294,49,Active
108,294,49,Cancelled
109,294,49,Active
110,294,49,Active
111,294,49,Active
112,294,49,Active
113,294,49,Active
114,294,49,Active
115,294,49,Active
116,294,49,Active
117,294,49,Active
118,294,49,Cancelled
119,294,49,Cancelled
120,294,49,Cancelled
121,294,49,Cancelled
122,294,49,Cancelled
123,294,49,Cancelled
124,294,49,Active
125,294,49,Active
126,294,49,Cancelled
127,294,49,Cancelled
128,294,49,Cancelled
129,294,49,Cancelled
130,294,49,Cancelled
131,294,49,Active
132,294,49,Cancelled
133,294,49,Cancelled
134,294,49,Active
135,294,49,Active
136,294,49,Active
137,294,49,Active
138,294,49,Active
139,294,49,Active
140,294,49,Active
141,294,49,Active
142,294,49,Active
143,294,49,Active
144,294,49,Active
145,294,49,Active
146,294,49,Active
147,294,49,Active
148,294,49,Active
149,294,49,Active
150,294,49,Active
151,294,49,Active
152,294,49,Active
153,294,49,Cancelled
154,294,49,Cancelled
155,294,49,Active
156,294,49,Active
157,294,49,Active
158,294,49,Cancelled
159,294,49,Cancelled
160,294,49,Active
161,294,49,Active
162,294,49,Active
163,294,49,Active
164,294,49,Active
165,294,49,Cancelled
166,294,49,Cancelled
167,294,49,Cancelled
168,294,49,Cancelled
169,294,49,Cancelled
170,294,49,Active
171,294,49,Active
172,294,49,Active
173,294,49,Active
174,294,49,Cancelled
175,294,49,Cancelled
176,294,49,Active
177,294,49,Active
178,294,49,Active
179,294,49,Active
180,294,49,Active
181,294,49,Active
182,294,49,Active
183,344,49,Active
184,294,49,Active
185,294,49,Cancelled
186,294,49,Cancelled
187,294,49,Cancelled
188,294,49,Active
189,294,49,Active
190,294,49,Active
191,294,49,Active
192,294,49,Active
193,294,49,Active
194,294,49,Active
195,294,49,Active
196,294,49,Active
197,294,49,Cancelled
198,294,49,Cancelled
199,294,49,Cancelled
200,294,49,Active
201,294,49,Active
202,294,49,Cancelled
203,294,49,Cancelled
204,294,49,Active
205,294,49,Active
206,294,49,Active
207,294,49,Cancelled
208,294,49,Cancelled
209,294,49,Cancelled
210,294,49,Active
211,294,49,Cancelled
212,294,49,Cancelled
213,294,49,Cancelled
214,294,49,Active
215,294,49,Active
216,294,49,Active
217,294,49,Active
218,294,49,Cancelled
219,294,49,Cancelled
