productName,_score,supplierID,quantity,shipCity,categoryName,customerName,supplierName,shipCountry,productID,sales_amount,employeeName,shipperName,unitPrice,orderDate,customer_segment,orderID,categoryID,customerID,discount,employeeID
Queso Cabrales,168.0,5,12,Reims,Dairy Products,Vins et alcools Chevalier,Cooperativa de Quesos 'Las Cabras',France,11,168.0,Steven Buchanan,Federal Shipping,14.00,1996-07-04 00:00:00.000,Low Value,10248,4,VINET,0,5
Singaporean Hokkien Fried Mee,98.0,20,10,Reims,Grains/Cereals,Vins et alcools Chevalier,Leka Trading,France,42,98.0,Steven Buchanan,Federal Shipping,9.80,1996-07-04 00:00:00.000,Low Value,10248,5,VINET,0,5
Mozzarella di Giovanni,174.0,14,5,Reims,Dairy Products,Vins et alcools Chevalier,Formaggi Fortini s.r.l.,France,72,174.0,Steven Buchanan,Federal Shipping,34.80,1996-07-04 00:00:00.000,Low Value,10248,4,VINET,0,5
Tofu,167.4,6,9,Münster,Produce,Toms Spezialitäten,Mayumi's,Germany,14,167.4,Michael Suyama,Speedy Express,18.60,1996-07-05 00:00:00.000,Low Value,10249,7,TOMSP,0,6
Manjimup Dried Apples,1696.0,24,40,Münster,Produce,Toms Spezialitäten,G'day Mate,Germany,51,1696.0,Michael Suyama,Speedy Express,42.40,1996-07-05 00:00:00.000,Low Value,10249,7,TOMSP,0,6
Jack's New England Clam Chowder,77.0,19,10,Rio de Janeiro,Seafood,Hanari Carnes,New England Seafood Cannery,Brazil,41,77.0,Margaret Peacock,United Package,7.70,1996-07-08 00:00:00.000,High Value,10250,8,HANAR,0,4
Manjimup Dried Apples,1261.3999999999999,24,35,Rio de Janeiro,Produce,Hanari Carnes,G'day Mate,Brazil,51,1261.3999999999999,Margaret Peacock,United Package,42.40,1996-07-08 00:00:00.000,High Value,10250,7,HANAR,0.15,4
Louisiana Fiery Hot Pepper Sauce,214.2,2,15,Rio de Janeiro,Condiments,Hanari Carnes,New Orleans Cajun Delights,Brazil,65,214.2,Margaret Peacock,United Package,16.80,1996-07-08 00:00:00.000,High Value,10250,2,HANAR,0.15,4
Gustaf's Knäckebröd,95.76,9,6,Lyon,Grains/Cereals,Victuailles en stock,PB Knäckebröd AB,France,22,95.76,Janet Leverling,Speedy Express,16.80,1996-07-08 00:00:00.000,Medium Value,10251,5,VICTE,0.05,3
Ravioli Angelo,222.29999999999998,26,15,Lyon,Grains/Cereals,Victuailles en stock,Pasta Buttini s.r.l.,France,57,222.29999999999998,Janet Leverling,Speedy Express,15.60,1996-07-08 00:00:00.000,Medium Value,10251,5,VICTE,0.05,3
Louisiana Fiery Hot Pepper Sauce,336.0,2,20,Lyon,Condiments,Victuailles en stock,New Orleans Cajun Delights,France,65,336.0,Janet Leverling,Speedy Express,16.80,1996-07-08 00:00:00.000,Medium Value,10251,2,VICTE,0,3
Sir Rodney's Marmalade,2462.4,8,40,Charleroi,Confections,Suprêmes délices,Specialty Biscuits Ltd.,Belgium,20,2462.4,Margaret Peacock,United Package,64.80,1996-07-09 00:00:00.000,High Value,10252,3,SUPRD,0.05,4
Geitost,47.5,15,25,Charleroi,Dairy Products,Suprêmes délices,Norske Meierier,Belgium,33,47.5,Margaret Peacock,United Package,2.00,1996-07-09 00:00:00.000,High Value,10252,4,SUPRD,0.05,4
Camembert Pierrot,1088.0,28,40,Charleroi,Dairy Products,Suprêmes délices,Gai pâturage,Belgium,60,1088.0,Margaret Peacock,United Package,27.20,1996-07-09 00:00:00.000,High Value,10252,4,SUPRD,0,4
Gorgonzola Telino,200.0,14,20,Rio de Janeiro,Dairy Products,Hanari Carnes,Formaggi Fortini s.r.l.,Brazil,31,200.0,Janet Leverling,United Package,10.00,1996-07-10 00:00:00.000,High Value,10253,4,HANAR,0,3
Chartreuse verte,604.8000000000001,18,42,Rio de Janeiro,Beverages,Hanari Carnes,Aux joyeux ecclésiastiques,Brazil,39,604.8000000000001,Janet Leverling,United Package,14.40,1996-07-10 00:00:00.000,High Value,10253,1,HANAR,0,3
Maxilaku,640.0,23,40,Rio de Janeiro,Confections,Hanari Carnes,Karkki Oy,Brazil,49,640.0,Janet Leverling,United Package,16.00,1996-07-10 00:00:00.000,High Value,10253,3,HANAR,0,3
Guaraná Fantástica,45.9,10,15,Bern,Beverages,Chop-suey Chinese,Refrescos Americanas LTDA,Switzerland,24,45.9,Steven Buchanan,United Package,3.60,1996-07-11 00:00:00.000,Medium Value,10254,1,CHOPS,0.15,5
Pâté chinois,342.71999999999997,25,21,Bern,Meat/Poultry,Chop-suey Chinese,Ma Maison,Switzerland,55,342.71999999999997,Steven Buchanan,United Package,19.20,1996-07-11 00:00:00.000,Medium Value,10254,6,CHOPS,0.15,5
Longlife Tofu,168.0,4,21,Bern,Produce,Chop-suey Chinese,Tokyo Traders,Switzerland,74,168.0,Steven Buchanan,United Package,8.00,1996-07-11 00:00:00.000,Medium Value,10254,7,CHOPS,0,5
Chang,304.0,1,20,Genève,Beverages,Richter Supermarkt,Exotic Liquids,Switzerland,2,304.0,Anne Dodsworth,Federal Shipping,15.20,1996-07-12 00:00:00.000,High Value,10255,1,RICSU,0,9
Pavlova,486.5,7,35,Genève,Confections,Richter Supermarkt,Pavlova Ltd.,Switzerland,16,486.5,Anne Dodsworth,Federal Shipping,13.90,1996-07-12 00:00:00.000,High Value,10255,3,RICSU,0,9
Inlagd Sill,380.0,17,25,Genève,Seafood,Richter Supermarkt,Svensk Sjöföda AB,Switzerland,36,380.0,Anne Dodsworth,Federal Shipping,15.20,1996-07-12 00:00:00.000,High Value,10255,8,RICSU,0,9
Raclette Courdavault,1320.0,28,30,Genève,Dairy Products,Richter Supermarkt,Gai pâturage,Switzerland,59,1320.0,Anne Dodsworth,Federal Shipping,44.00,1996-07-12 00:00:00.000,High Value,10255,4,RICSU,0,9
Perth Pasties,393.0,24,15,Resende,Meat/Poultry,Wellington Importadora,G'day Mate,Brazil,53,393.0,Janet Leverling,United Package,26.20,1996-07-15 00:00:00.000,Low Value,10256,6,WELLI,0,3
Original Frankfurter grüne Soße,124.80000000000001,12,12,Resende,Condiments,Wellington Importadora,Plutzer Lebensmittelgroßmärkte AG,Brazil,77,124.80000000000001,Janet Leverling,United Package,10.40,1996-07-15 00:00:00.000,Low Value,10256,2,WELLI,0,3
Schoggi Schokolade,877.5,11,25,San Cristóbal,Confections,HILARION-Abastos,Heli Süßwaren GmbH & Co. KG,Venezuela,27,877.5,Margaret Peacock,Federal Shipping,35.10,1996-07-16 00:00:00.000,High Value,10257,3,HILAA,0,4
Chartreuse verte,86.4,18,6,San Cristóbal,Beverages,HILARION-Abastos,Aux joyeux ecclésiastiques,Venezuela,39,86.4,Margaret Peacock,Federal Shipping,14.40,1996-07-16 00:00:00.000,High Value,10257,1,HILAA,0,4
Original Frankfurter grüne Soße,156.0,12,15,San Cristóbal,Condiments,HILARION-Abastos,Plutzer Lebensmittelgroßmärkte AG,Venezuela,77,156.0,Margaret Peacock,Federal Shipping,10.40,1996-07-16 00:00:00.000,High Value,10257,2,HILAA,0,4
Chang,608.0,1,50,Graz,Beverages,Ernst Handel,Exotic Liquids,Austria,2,608.0,Nancy Davolio,Speedy Express,15.20,1996-07-17 00:00:00.000,High Value,10258,1,ERNSH,0.2,1
Chef Anton's Gumbo Mix,884.0,2,65,Graz,Condiments,Ernst Handel,New Orleans Cajun Delights,Austria,5,884.0,Nancy Davolio,Speedy Express,17.00,1996-07-17 00:00:00.000,High Value,10258,2,ERNSH,0.2,1
Mascarpone Fabioli,122.88000000000002,14,6,Graz,Dairy Products,Ernst Handel,Formaggi Fortini s.r.l.,Austria,32,122.88000000000002,Nancy Davolio,Speedy Express,25.60,1996-07-17 00:00:00.000,High Value,10258,4,ERNSH,0.2,1
Sir Rodney's Scones,80.0,8,10,México D.F.,Confections,Centro comercial Moctezuma,Specialty Biscuits Ltd.,Mexico,21,80.0,Margaret Peacock,Federal Shipping,8.00,1996-07-18 00:00:00.000,Low Value,10259,3,CENTC,0,4
Gravad lax,20.8,17,1,México D.F.,Seafood,Centro comercial Moctezuma,Svensk Sjöföda AB,Mexico,37,20.8,Margaret Peacock,Federal Shipping,20.80,1996-07-18 00:00:00.000,Low Value,10259,8,CENTC,0,4
Jack's New England Clam Chowder,92.4,19,16,Köln,Seafood,Ottilies Käseladen,New England Seafood Cannery,Germany,41,92.4,Margaret Peacock,Speedy Express,7.70,1996-07-19 00:00:00.000,Medium Value,10260,8,OTTIK,0.25,4
Ravioli Angelo,780.0,26,50,Köln,Grains/Cereals,Ottilies Käseladen,Pasta Buttini s.r.l.,Germany,57,780.0,Margaret Peacock,Speedy Express,15.60,1996-07-19 00:00:00.000,Medium Value,10260,5,OTTIK,0,4
Tarte au sucre,443.25,29,15,Köln,Confections,Ottilies Käseladen,Forêts d'érables,Germany,62,443.25,Margaret Peacock,Speedy Express,39.40,1996-07-19 00:00:00.000,Medium Value,10260,3,OTTIK,0.25,4
Outback Lager,189.0,7,21,Köln,Beverages,Ottilies Käseladen,Pavlova Ltd.,Germany,70,189.0,Margaret Peacock,Speedy Express,12.00,1996-07-19 00:00:00.000,Medium Value,10260,1,OTTIK,0.25,4
Sir Rodney's Scones,160.0,8,20,Rio de Janeiro,Confections,Que Delícia,Specialty Biscuits Ltd.,Brazil,21,160.0,Margaret Peacock,United Package,8.00,1996-07-19 00:00:00.000,Low Value,10261,3,QUEDE,0,4
Steeleye Stout,288.0,16,20,Rio de Janeiro,Beverages,Que Delícia,Bigfoot Breweries,Brazil,35,288.0,Margaret Peacock,United Package,14.40,1996-07-19 00:00:00.000,Low Value,10261,1,QUEDE,0,4
Chef Anton's Gumbo Mix,163.20000000000002,2,12,Albuquerque,Condiments,Rattlesnake Canyon Grocery,New Orleans Cajun Delights,USA,5,163.20000000000002,Laura Callahan,Federal Shipping,17.00,1996-07-22 00:00:00.000,High Value,10262,2,RATTC,0.2,8
Uncle Bob's Organic Dried Pears,360.0,3,15,Albuquerque,Produce,Rattlesnake Canyon Grocery,Grandma Kelly's Homestead,USA,7,360.0,Laura Callahan,Federal Shipping,24.00,1996-07-22 00:00:00.000,High Value,10262,7,RATTC,0,8
Gnocchi di nonna Alice,60.8,26,2,Albuquerque,Grains/Cereals,Rattlesnake Canyon Grocery,Pasta Buttini s.r.l.,USA,56,60.8,Laura Callahan,Federal Shipping,30.40,1996-07-22 00:00:00.000,High Value,10262,5,RATTC,0,8
Pavlova,625.5,7,60,Graz,Confections,Ernst Handel,Pavlova Ltd.,Austria,16,625.5,Anne Dodsworth,Federal Shipping,13.90,1996-07-23 00:00:00.000,High Value,10263,3,ERNSH,0.25,9
Guaraná Fantástica,100.8,10,28,Graz,Beverages,Ernst Handel,Refrescos Americanas LTDA,Austria,24,100.8,Anne Dodsworth,Federal Shipping,3.60,1996-07-23 00:00:00.000,High Value,10263,1,ERNSH,0,9
Nord-Ost Matjeshering,931.5,13,60,Graz,Seafood,Ernst Handel,Nord-Ost-Fisch Handelsgesellschaft mbH,Austria,30,931.5,Anne Dodsworth,Federal Shipping,20.70,1996-07-23 00:00:00.000,High Value,10263,8,ERNSH,0.25,9
Longlife Tofu,216.0,4,36,Graz,Produce,Ernst Handel,Tokyo Traders,Austria,74,216.0,Anne Dodsworth,Federal Shipping,8.00,1996-07-23 00:00:00.000,High Value,10263,7,ERNSH,0.25,9
Chang,532.0,1,35,Bräcke,Beverages,Folk och fä HB,Exotic Liquids,Sweden,2,532.0,Michael Suyama,Federal Shipping,15.20,1996-07-24 00:00:00.000,High Value,10264,1,FOLKO,0,6
Jack's New England Clam Chowder,163.625,19,25,Bräcke,Seafood,Folk och fä HB,New England Seafood Cannery,Sweden,41,163.625,Michael Suyama,Federal Shipping,7.70,1996-07-24 00:00:00.000,High Value,10264,8,FOLKO,0.15,6
Alice Mutton,936.0,7,30,Strasbourg,Meat/Poultry,Blondesddsl père et fils,Pavlova Ltd.,France,17,936.0,Andrew Fuller,Speedy Express,31.20,1996-07-25 00:00:00.000,High Value,10265,6,BLONP,0,2
Outback Lager,240.0,7,20,Strasbourg,Beverages,Blondesddsl père et fils,Pavlova Ltd.,France,70,240.0,Andrew Fuller,Speedy Express,12.00,1996-07-25 00:00:00.000,High Value,10265,1,BLONP,0,2
Queso Manchego La Pastora,346.55999999999995,5,12,Oulu,Dairy Products,Wartian Herkku,Cooperativa de Quesos 'Las Cabras',Finland,12,346.55999999999995,Janet Leverling,Federal Shipping,30.40,1996-07-26 00:00:00.000,Medium Value,10266,4,WARTH,0.05,3
Boston Crab Meat,735.0,19,50,München,Seafood,Frankenversand,New England Seafood Cannery,Germany,40,735.0,Margaret Peacock,Speedy Express,14.70,1996-07-29 00:00:00.000,High Value,10267,8,FRANK,0,4
Raclette Courdavault,2618.0,28,70,München,Dairy Products,Frankenversand,Gai pâturage,Germany,59,2618.0,Margaret Peacock,Speedy Express,44.00,1996-07-29 00:00:00.000,High Value,10267,4,FRANK,0.15,4
Lakkalikööri,183.6,23,15,München,Beverages,Frankenversand,Karkki Oy,Germany,76,183.6,Margaret Peacock,Speedy Express,14.40,1996-07-29 00:00:00.000,High Value,10267,1,FRANK,0.15,4
Thüringer Rostbratwurst,990.0,12,10,Caracas,Meat/Poultry,GROSELLA-Restaurante,Plutzer Lebensmittelgroßmärkte AG,Venezuela,29,990.0,Laura Callahan,Federal Shipping,99.00,1996-07-30 00:00:00.000,Low Value,10268,6,GROSR,0,8
Mozzarella di Giovanni,111.2,14,4,Caracas,Dairy Products,GROSELLA-Restaurante,Formaggi Fortini s.r.l.,Venezuela,72,111.2,Laura Callahan,Federal Shipping,27.80,1996-07-30 00:00:00.000,Low Value,10268,4,GROSR,0,8
Geitost,114.0,15,60,Seattle,Dairy Products,White Clover Markets,Norske Meierier,USA,33,114.0,Steven Buchanan,Speedy Express,2.00,1996-07-31 00:00:00.000,High Value,10269,4,WHITC,0.05,5
Mozzarella di Giovanni,528.1999999999999,14,20,Seattle,Dairy Products,White Clover Markets,Formaggi Fortini s.r.l.,USA,72,528.1999999999999,Steven Buchanan,Speedy Express,27.80,1996-07-31 00:00:00.000,High Value,10269,4,WHITC,0.05,5
Inlagd Sill,456.0,17,30,Oulu,Seafood,Wartian Herkku,Svensk Sjöföda AB,Finland,36,456.0,Nancy Davolio,Speedy Express,15.20,1996-08-01 00:00:00.000,Medium Value,10270,8,WARTH,0,1
Ipoh Coffee,919.9999999999999,20,25,Oulu,Beverages,Wartian Herkku,Leka Trading,Finland,43,919.9999999999999,Nancy Davolio,Speedy Express,36.80,1996-08-01 00:00:00.000,Medium Value,10270,1,WARTH,0,1
Geitost,48.0,15,24,Lander,Dairy Products,Split Rail Beer & Ale,Norske Meierier,USA,33,48.0,Michael Suyama,United Package,2.00,1996-08-01 00:00:00.000,Medium Value,10271,4,SPLIR,0,6
Sir Rodney's Marmalade,388.79999999999995,8,6,Albuquerque,Confections,Rattlesnake Canyon Grocery,Specialty Biscuits Ltd.,USA,20,388.79999999999995,Michael Suyama,United Package,64.80,1996-08-02 00:00:00.000,High Value,10272,3,RATTC,0,6
Gorgonzola Telino,400.0,14,40,Albuquerque,Dairy Products,Rattlesnake Canyon Grocery,Formaggi Fortini s.r.l.,USA,31,400.0,Michael Suyama,United Package,10.00,1996-08-02 00:00:00.000,High Value,10272,4,RATTC,0,6
Mozzarella di Giovanni,667.2,14,24,Albuquerque,Dairy Products,Rattlesnake Canyon Grocery,Formaggi Fortini s.r.l.,USA,72,667.2,Michael Suyama,United Package,27.80,1996-08-02 00:00:00.000,High Value,10272,4,RATTC,0,6
Ikura,565.44,4,24,Cunewalde,Seafood,QUICK-Stop,Tokyo Traders,Germany,10,565.44,Janet Leverling,Federal Shipping,24.80,1996-08-05 00:00:00.000,High Value,10273,8,QUICK,0.05,3
